181 4 20
0.000	0.016	0.016	0.000
0.000	0.018	0.018	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.011	0.000	0.006	0.006
0.003	0.003	0.003	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.010	0.018
0.021	0.000	0.000	0.051
0.007	0.007	0.007	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.017	0.017	0.017	0.000
0.000	0.000	0.013	0.000
0.010	0.000	0.005	0.010
0.000	0.000	0.000	0.009
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.011
0.012	0.000	0.000	0.004
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.023	0.034	0.000	0.008
0.000	0.000	0.000	0.000
0.023	0.000	0.000	0.011
0.014	0.000	0.000	0.000
0.015	0.007	0.000	0.010
0.005	0.000	0.000	0.009
0.018	0.000	0.011	0.027
0.037	0.000	0.018	0.038
0.002	0.000	0.000	0.014
0.007	0.000	0.000	0.016
0.000	0.000	0.000	0.002
0.010	0.007	0.000	0.030
0.009	0.009	0.000	0.009
0.017	0.000	0.000	0.034
0.000	0.012	0.012	0.031
0.018	0.000	0.000	0.021
0.000	0.004	0.025	0.046
0.020	0.000	0.015	0.023
0.005	0.000	0.003	0.005
0.000	0.015	0.005	0.040
0.018	0.000	0.005	0.014
0.028	0.003	0.000	0.009
0.012	0.000	0.000	0.009
0.023	0.000	0.009	0.014
0.022	0.000	0.005	0.034
0.000	0.002	0.000	0.011
0.013	0.002	0.000	0.009
0.024	0.000	0.009	0.024
0.000	0.000	0.013	0.025
0.034	0.000	0.005	0.003
0.005	0.017	0.000	0.000
0.007	0.021	0.021	0.000
0.000	0.014	0.018	0.032
0.014	0.000	0.002	0.010
0.011	0.000	0.000	0.019
0.000	0.005	0.002	0.000
0.006	0.000	0.001	0.007
0.029	0.000	0.000	0.010
0.032	0.018	0.021	0.000
0.030	0.000	0.001	0.005
0.040	0.005	0.000	0.016
0.028	0.000	0.000	0.006
0.001	0.000	0.000	0.010
